,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed,Pressure,Date,dt
142,Port Alfred,ZA,-33.5906,26.891,38,57,58.51,26.8,1019,2021-10-16,1634417444
143,Puerto Escondido,MX,15.85,-97.0667,18,66,86.18,6.02,1010,2021-10-16,1634417444
144,Camacha,PT,33.0833,-16.3333,20,78,67.42,6.91,1019,2021-10-16,1634417445
145,Esim,GH,4.8699,-2.2405,5,85,79.5,9.46,1012,2021-10-16,1634417445
146,Yellowknife,CA,62.456,-114.3525,90,100,39.42,10.36,1007,2021-10-16,1634417163
147,Esperance,AU,-33.8667,121.9,0,88,55.24,8.19,1007,2021-10-16,1634417445
148,Okhotsk,RU,59.3833,143.3,12,74,15.21,9.06,1015,2021-10-16,1634417446
149,Ossora,RU,59.2353,163.0719,100,78,27.07,9.6,1006,2021-10-16,1634417446
150,Minzhu,CN,43.7286,127.3447,0,45,24.17,5.23,1029,2021-10-16,1634417446
151,Saint-Philippe,RE,-21.3585,55.7679,40,76,72.95,16.78,1021,2021-10-16,1634417447
152,Grand-Santi,GF,4.25,-54.3833,42,41,90.37,4.23,1008,2021-10-16,1634417447
153,Korla,CN,41.7597,86.1469,8,38,48.67,0.34,1022,2021-10-16,1634417447
154,Iqaluit,CA,63.7506,-68.5145,1,74,33.53,3.0,1023,2021-10-16,1634417448
155,Imbituba,BR,-28.24,-48.6703,97,88,69.69,11.27,1018,2021-10-16,1634417448
156,Bilibino,RU,68.0546,166.4372,25,99,-11.43,5.03,1022,2021-10-16,1634417448
157,Tornio,FI,65.8481,24.1466,100,97,35.62,14.45,985,2021-10-16,1634417449
158,Adrar,MR,20.5022,-10.0711,4,13,85.98,8.81,1013,2021-10-16,1634417449
159,Japura,ID,-0.3167,102.35,96,97,75.02,2.37,1007,2021-10-16,1634417449
160,Nanortalik,GL,60.1432,-45.2371,95,67,40.12,5.28,1015,2021-10-16,1634417450
161,Shenjiamen,CN,29.9576,122.298,100,68,63.55,27.78,1027,2021-10-16,1634417450
162,Hegang,CN,47.4,130.3667,0,48,23.85,10.69,1020,2021-10-16,1634417450
163,Cockburn Town,TC,21.4612,-71.1419,40,70,84.16,5.75,1012,2021-10-16,1634417451
164,Bredasdorp,ZA,-34.5322,20.0403,100,66,51.28,10.36,1022,2021-10-16,1634417451
165,Baní,DO,18.2833,-70.3333,85,75,90.84,4.97,1011,2021-10-16,1634417451
166,Kutum,SD,14.2,24.6667,3,20,79.56,7.74,1011,2021-10-16,1634417452
167,Atambua,ID,-9.1061,124.8925,6,86,75.2,1.34,1010,2021-10-16,1634417452
168,Davila,PH,18.4726,120.5763,68,82,79.61,15.1,1011,2021-10-16,1634417452
169,Qaanaaq,GL,77.484,-69.3632,100,83,20.84,9.91,1031,2021-10-16,1634417452
170,Harper,LR,4.375,-7.7169,21,84,78.82,6.55,1012,2021-10-16,1634417453
171,Namatanai,PG,-3.6667,152.4333,31,73,82.83,9.86,1012,2021-10-16,1634417453
172,Tuatapere,NZ,-46.1333,167.6833,75,72,54.88,5.79,995,2021-10-16,1634417453
173,Bilma,NE,18.6853,12.9164,99,32,86.05,5.08,1013,2021-10-16,1634417454
174,Conde,BR,-7.2597,-34.9075,90,94,76.46,11.5,1013,2021-10-16,1634417454
175,Samokov,BG,42.3333,23.55,100,96,45.75,2.1,1019,2021-10-16,1634417454
176,Alofi,NU,-19.0595,-169.9187,38,71,77.88,12.53,1018,2021-10-16,1634417455
177,Santa Cruz de la Sierra,BO,-17.8,-63.1667,75,46,75.25,8.05,1014,2021-10-16,1634417417
178,Bluff,NZ,-46.6,168.3333,87,63,54.84,12.1,995,2021-10-16,1634417455
179,Peleduy,RU,59.6289,112.7406,100,97,30.49,5.55,1017,2021-10-16,1634417456
180,Kamennogorsk,RU,60.9545,29.1339,85,76,41.85,11.83,996,2021-10-16,1634417456
181,Carballo,ES,43.213,-8.691,100,88,64.54,8.97,1015,2021-10-16,1634417456
182,Perelyub,RU,51.8667,50.3667,34,59,45.09,5.91,1021,2021-10-16,1634417457
183,Vigrestad,NO,58.5667,5.7,85,75,46.99,12.33,1012,2021-10-16,1634417457
184,Kiunga,PG,-6.1219,141.2906,100,99,73.74,1.21,1011,2021-10-16,1634417457
185,Zelenogorsk,RU,56.1147,94.5861,13,69,31.08,1.19,1030,2021-10-16,1634417457
186,Albania,AL,41.0,20.0,95,78,54.79,1.12,1017,2021-10-16,1634417193
187,Quebo,GW,11.3333,-14.9333,3,90,77.18,4.5,1012,2021-10-16,1634417458
188,Santa Cruz del Sur,CU,20.7147,-77.9956,11,72,82.72,3.85,1011,2021-10-16,1634417458
189,Clifton,US,40.8584,-74.1638,75,73,80.64,1.01,1002,2021-10-16,1634417458
190,Sarāhan,IN,31.5167,77.8,0,38,55.15,5.97,1018,2021-10-16,1634417459
191,Road Town,VG,18.4167,-64.6167,20,74,87.84,2.15,1011,2021-10-16,1634417459
192,Pevek,RU,69.7008,170.3133,97,86,8.08,3.33,1019,2021-10-16,1634417459
193,Ribeira Grande,PT,38.5167,-28.7,75,94,70.2,36.82,1004,2021-10-16,1634417460
194,Mandeville,JM,18.0417,-77.5071,88,75,71.65,2.93,1012,2021-10-16,1634417460
195,San Patricio,US,28.017,-97.5169,20,34,78.66,14.79,1023,2021-10-16,1634417461
196,Guiglo,CI,6.5456,-7.4966,14,96,72.12,3.67,1013,2021-10-16,1634417461
197,Sangar,RU,63.9242,127.4739,94,92,9.19,3.13,1020,2021-10-16,1634417462
198,Funadhoo,MV,6.15,73.2667,100,78,81.93,23.42,1006,2021-10-16,1634417462
199,Langham,CA,52.3668,-106.9679,19,26,62.02,5.57,1011,2021-10-16,1634417463
200,Tibati,CM,6.4667,12.6333,100,96,67.87,3.11,1013,2021-10-16,1634417463
201,Constitución,CL,-35.3333,-72.4167,72,68,57.45,18.43,1022,2021-10-16,1634417463
202,Kuminskiy,RU,58.6667,66.5667,99,79,40.64,5.68,1018,2021-10-16,1634417464
203,São Filipe,CV,14.8961,-24.4956,100,77,79.47,10.89,1013,2021-10-16,1634417464
204,Yangi Marg`ilon,UZ,40.4272,71.7189,12,61,51.22,6.91,1019,2021-10-16,1634417464
205,Ixtapa,MX,20.7,-105.2,21,72,88.23,3.0,1009,2021-10-16,1634417465
206,Kandrian,PG,-6.2167,149.55,100,87,79.0,4.76,1012,2021-10-16,1634417465
207,Benguela,AO,-12.5763,13.4055,88,77,72.52,2.62,1013,2021-10-16,1634417465
208,Boyolangu,ID,-8.1181,111.8935,78,92,75.42,3.51,1010,2021-10-16,1634417465
209,Tateyama,JP,34.9833,139.8667,14,84,71.1,17.34,1007,2021-10-16,1634417466
210,Narwar,IN,25.65,77.9,16,55,75.61,3.74,1005,2021-10-16,1634417466
211,Nemuro,JP,43.3236,145.575,100,82,49.26,25.01,1004,2021-10-16,1634417466
212,Acarí,PE,-15.4311,-74.6158,100,63,72.18,9.26,1015,2021-10-16,1634417467
213,Havøysund,NO,70.9963,24.6622,100,75,38.28,26.46,993,2021-10-16,1634417467
214,Yelan',RU,50.949,43.7378,100,54,49.73,5.03,1019,2021-10-16,1634417467
215,Aasiaat,GL,68.7098,-52.8699,3,66,18.21,12.91,1025,2021-10-16,1634417468
216,Sofia,BG,42.6975,23.3242,90,91,50.34,7.0,1019,2021-10-16,1634417244
217,Thompson,CA,55.7435,-97.8558,20,66,48.36,11.5,1006,2021-10-16,1634417468
218,Yar-Sale,RU,66.8333,70.8333,100,92,39.4,15.35,1004,2021-10-16,1634417469
219,Novikovo,RU,51.1537,37.8879,100,50,51.62,3.49,1018,2021-10-16,1634417469
220,Mineros,BO,-17.1167,-63.2333,100,50,74.79,5.66,1014,2021-10-16,1634417469
221,Port Hedland,AU,-20.3167,118.5667,40,83,73.45,9.22,1008,2021-10-16,1634417470
222,Emba,KZ,48.8264,58.1442,97,41,50.13,5.61,1025,2021-10-16,1634417470
223,Viedma,AR,-40.8135,-62.9967,7,32,62.17,14.85,1014,2021-10-16,1634417470
224,Quatre Cocos,MU,-20.2078,57.7625,16,71,73.51,14.54,1019,2021-10-16,1634417470
225,Deputatsky,RU,69.3,139.9,100,100,-8.34,1.86,1025,2021-10-16,1634417471
226,Mossamedes,AO,-15.1961,12.1522,17,86,63.68,3.27,1012,2021-10-16,1634417471
227,Vila Velha,BR,-20.3297,-40.2925,40,83,78.75,19.57,1013,2021-10-16,1634417191
228,Pangnirtung,CA,66.1451,-65.7125,0,62,30.2,5.41,1027,2021-10-16,1634417472
229,Torbay,CA,47.6666,-52.7314,90,95,45.57,19.57,1006,2021-10-16,1634417472
230,Níjar,ES,36.9665,-2.206,0,83,65.84,8.05,1017,2021-10-16,1634417472
231,Kuril'sk,RU,45.2333,147.8833,100,92,51.67,20.92,1002,2021-10-16,1634417472
232,Ilulissat,GL,69.2167,-51.1,6,36,24.82,4.61,1024,2021-10-16,1634417398
233,Santiago del Estero,AR,-27.7951,-64.2615,1,23,74.8,6.22,1015,2021-10-16,1634417473
234,Tsiroanomandidy,MG,-18.7667,46.0333,52,50,71.31,8.3,1015,2021-10-16,1634417473
235,San José de Río Tinto,HN,14.9333,-85.7,75,80,96.37,3.53,1011,2021-10-16,1634417474
236,Shimoda,JP,34.6667,138.95,60,86,70.11,14.25,1007,2021-10-16,1634417474
237,Bambous Virieux,MU,-20.3428,57.7575,40,68,73.65,13.8,1020,2021-10-16,1634417474
238,Margate,GB,51.3813,1.3862,100,82,56.91,12.8,1020,2021-10-16,1634417475
239,Bethel,US,41.3712,-73.414,19,77,74.48,1.01,1001,2021-10-16,1634417475
240,Kaitangata,NZ,-46.2817,169.8464,62,53,57.97,6.8,997,2021-10-16,1634417475
241,Shingū,JP,33.7333,135.9833,100,70,64.85,7.92,1011,2021-10-16,1634417475
242,Raudeberg,NO,61.9875,5.1352,87,56,39.87,7.02,1011,2021-10-16,1634417476
243,Rumphi,MW,-11.0186,33.8575,85,45,76.26,4.38,1010,2021-10-16,1634417476
244,Alexandria,EG,31.2156,29.9553,0,69,75.16,10.36,1017,2021-10-16,1634417368
245,Tautira,PF,-17.7333,-149.15,19,78,87.82,22.15,1018,2021-10-16,1634417476
246,Flinders,AU,-34.5833,150.8552,0,71,59.05,1.99,1008,2021-10-16,1634417477
247,Maragogi,BR,-9.0122,-35.2225,33,84,77.38,10.49,1014,2021-10-16,1634417477
248,Lucea,JM,18.451,-78.1736,63,68,87.85,3.78,1011,2021-10-16,1634417477
249,Gornopravdinsk,RU,60.05,69.9,100,89,44.4,7.29,1017,2021-10-16,1634417478
250,Mount Isa,AU,-20.7333,139.5,0,47,56.97,0.0,1013,2021-10-16,1634417478
251,Angleton,US,29.1694,-95.4319,1,39,76.17,14.97,1023,2021-10-16,1634417479
252,Lüderitz,NA,-26.6481,15.1594,37,60,56.28,26.04,1018,2021-10-16,1634417479
253,Kalmunai,LK,7.4167,81.8167,98,67,80.56,6.15,1004,2021-10-16,1634417479
254,Aitape,PG,-3.1374,142.3475,99,85,79.14,4.63,1012,2021-10-16,1634417480
255,Ulverstone,AU,-41.15,146.1667,100,60,56.19,1.01,1017,2021-10-16,1634417480
256,Babu,CN,24.4167,111.5167,50,87,57.09,6.93,1024,2021-10-16,1634417480
257,Pankrushikha,RU,53.8319,80.3406,49,70,36.32,3.74,1025,2021-10-16,1634417481
258,Evanston,US,42.0411,-87.6901,20,39,61.14,5.99,1016,2021-10-16,1634417481
259,Crotone,IT,39.0851,17.1178,100,65,51.93,7.27,1017,2021-10-16,1634417481
260,Cauquenes,CL,-35.9671,-72.3225,100,46,63.43,11.48,1022,2021-10-16,1634417276
261,Maţāy,EG,28.419,30.7792,83,32,79.9,12.73,1016,2021-10-16,1634417481
262,Weligama,LK,5.9667,80.4167,91,86,78.6,14.79,1006,2021-10-16,1634417482
263,Inhambane,MZ,-23.865,35.3833,0,87,76.46,14.25,1008,2021-10-16,1634417482
264,Porto Franco,BR,-6.3383,-47.3992,100,38,88.63,2.51,1007,2021-10-16,1634417482
265,Uvalde,US,29.3669,-99.767,97,10,75.31,7.74,1024,2021-10-16,1634417483
266,Caucaia,BR,-3.7361,-38.6531,0,74,84.15,11.5,1010,2021-10-16,1634417242
267,Matane,CA,48.8286,-67.522,100,1,56.95,16.91,1007,2021-10-16,1634417483
268,Ban Tak,TH,17.0432,99.0813,100,98,73.38,2.44,1010,2021-10-16,1634417483
269,Kiryat Gat,IL,31.61,34.7642,94,52,72.39,1.83,1016,2021-10-16,1634417484
270,Lázaro Cárdenas,MX,17.9583,-102.2,11,72,85.84,7.61,1010,2021-10-16,1634417484
271,El Estor,GT,15.5333,-89.35,49,55,94.73,2.06,1011,2021-10-16,1634417485
272,Totness,SR,5.8833,-56.3167,32,80,82.8,11.3,1009,2021-10-16,1634417506
273,Lamar,US,33.6668,-95.5836,1,27,71.76,13.8,1026,2021-10-16,1634417506
274,Airai,TL,-8.9266,125.4092,5,87,61.95,1.66,1012,2021-10-16,1634417507
275,Pierre,US,44.3683,-100.351,1,33,67.86,8.99,1020,2021-10-16,1634417251
276,Fortuna,US,40.5982,-124.1573,1,55,78.42,4.0,1014,2021-10-16,1634417507
277,Thinadhoo,MV,0.5333,72.9333,100,73,82.9,20.18,1007,2021-10-16,1634417507
278,Fairbanks,US,64.8378,-147.7164,90,88,28.6,0.0,1014,2021-10-16,1634417491
279,Bathsheba,BB,13.2167,-59.5167,20,74,86.61,8.05,1011,2021-10-16,1634417508
280,Shellbrook,CA,53.2168,-106.4011,37,28,60.03,2.28,1011,2021-10-16,1634417508
281,Henties Bay,NA,-22.116,14.2845,0,85,55.85,12.95,1017,2021-10-16,1634417508
282,Severo-Kuril'sk,RU,50.6789,156.125,100,59,39.54,3.83,1014,2021-10-16,1634417509
283,Portland,US,45.5234,-122.6762,40,67,69.46,1.99,1016,2021-10-16,1634417280
